#Position (bp)	mapping quality
20.0	0.0
59.0	58.02721649484536
98.0	59.998714400499956
137.0	59.98910440297918
176.0	59.99933300724799
215.0	59.99987868249186
254.0	59.9987082233949
293.0	59.999432888950935
332.0	59.994257599919905
371.0	59.980662244193745
410.0	59.876904626648994
449.0	59.99185576797781
488.0	59.998674584984
527.0	59.99804096985053
566.0	59.99845838304489
605.0	59.99723392170892
644.0	59.99840319611256
683.0	59.99754502933044
722.0	59.99964743834578
761.0	59.99966728403962
800.0	59.99888544201512
839.0	59.967464216248565
878.0	59.91903242800281
917.0	59.973055555555554
956.0	59.945855669265754
995.0	59.92171844444893
1034.0	59.99949570084974
1073.0	59.998234502239974
1112.0	59.99920448142132
1151.0	60.0
1190.0	60.0
1229.0	59.999596887975166
1268.0	59.996717698637845
1307.0	59.99721117816996
1346.0	60.0
1385.0	59.99907857818803
1424.0	59.997104505454395
1463.0	59.997926998871655
1502.0	59.99796109739416
1541.0	59.99917842947013
1580.0	59.99951065547699
1619.0	59.998544643073714
1658.0	59.99809591812448
1697.0	59.99676611629046
1736.0	59.9957413383554
1775.0	59.99640407169728
1814.0	59.99462345306369
1853.0	59.99791784407627
1892.0	59.99930175724427
1931.0	60.0
1970.0	59.998474466381055
2009.0	59.994938969931525
2048.0	59.99444806880667
2087.0	59.99946443873179
2126.0	59.89468943776631
2163.5	0.0
2183.0	0.0
2204.0	0.0
2243.0	0.0
2282.0	0.0
2321.0	0.0
2360.0	0.0
2399.0	0.0
2438.0	0.0
2477.0	0.0
2516.0	0.0
2555.0	0.0
2594.0	0.0
2633.0	0.0
2672.0	0.0
2711.0	0.0
2750.0	0.0
2789.0	0.0
2828.0	0.0
2867.0	0.0
2906.0	0.0
2945.0	0.0
2984.0	0.0
3023.0	0.0
3062.0	0.0
3101.0	0.0
3140.0	0.0
3179.0	0.0
3218.0	0.0
3257.0	0.0
3294.5	0.0
3314.0	57.772695579417096
3335.0	58.693338222273894
3374.0	59.9399006214581
3413.0	59.99130814244631
3452.0	59.99926414226583
3491.0	59.99656234653333
3530.0	59.994094884469995
3569.0	59.998545440807
3608.0	59.99328272150682
3647.0	59.98877520713635
3686.0	59.80212305048291
3725.0	59.989574162457714
3764.0	59.98548529096836
3803.0	59.98317914724165
3842.0	59.97995981606529
3881.0	59.995790736225125
3920.0	59.99630138319617
3959.0	59.99557713647131
3998.0	59.989744689144416
4037.0	59.9614363021172
4076.0	59.99950777712148
4115.0	59.99920928822762
4154.0	59.987053457178554
4193.0	59.982781869974886
4232.0	59.99725452019732
4271.0	59.99608245403327
4310.0	59.99753043584746
4349.0	59.99876690479701
4388.0	59.99911283525754
4427.0	59.999594348798965
4466.0	59.99921618149753
4505.0	60.0
4544.0	59.990788450442764
4583.0	59.98755678147719
4622.0	59.99822769124364
4661.0	59.994559738867466
4700.0	59.991059629659844
4739.0	59.999386044798264
4778.0	59.99895496478812
4817.0	59.998490539544356
4856.0	59.99407719595753
4895.0	59.98998135350191
4934.0	59.994434543807884
4973.0	59.9994996539273
5012.0	59.99688687298107
5051.0	59.98169962754049
5090.0	59.98562332216626
5124.5	59.998873281754676
5144.0	59.840464547677264
5168.0	59.951689445709945
5207.0	59.977579139710606
5246.0	59.83538093182086
5285.0	59.485580576776925
5324.0	56.36549194083441
5363.0	58.5595221796276
5402.0	59.68781603660005
5441.0	59.96580532348941
5480.0	59.98922603342128
5519.0	59.91789591789592
5558.0	60.0
5597.0	60.0
5636.0	59.99829584185412
5675.0	59.99859402460457
5714.0	60.0
5753.0	59.998094713403574
5792.0	59.9997884851305
5831.0	59.996318491399585
5870.0	60.0
5909.0	59.99740181007232
5948.0	60.0
5987.0	59.99725117397778
6026.0	59.99436275661202
6065.0	59.99710424710425
6104.0	59.906775448138724
6143.0	60.0
6182.0	60.0
6221.0	59.998648496452304
6260.0	59.99983451585545
6299.0	59.99597536435149
6338.0	59.99826311570322
6377.0	59.9983145339038
6416.0	59.99875802997859
6455.0	60.0
6494.0	60.0
6533.0	59.99805774957918
6572.0	59.99651830789764
6611.0	59.998516467213925
6650.0	59.997196523689375
6689.0	59.99621745434678
6728.0	60.0
6767.0	59.99594977723775
6806.0	59.96279646566424
6845.0	59.98060209094344
6884.0	59.845735699872336
6923.0	59.988445205253974
6962.0	59.99097407940753
7001.0	59.992038649972784
7040.0	59.99538008302459
7079.0	59.997288544098815
7118.0	59.965068002863276
7157.0	59.98680200719474
7196.0	59.9948207066036
7235.0	59.99146514935989
7274.0	59.995569620253164
7313.0	59.556127090769124
7352.0	59.9976254551211
7391.0	59.99536106386269
7430.0	60.0
7469.0	59.9650482043515
7508.0	59.7948800411655
7542.0	57.44958896343192
7561.5	0.0
7586.0	0.0
7625.0	0.0
7664.0	58.42255758538523
7703.0	60.0
7742.0	60.0
7781.0	59.973627126384294
7820.0	43.76280213027448
7859.0	55.729184214631104
7898.0	59.17059213015513
7937.0	59.83741753063148
7976.0	59.929449718380624
8015.0	59.98148779656063
8054.0	59.99869994799792
8093.0	59.99705702023299
8132.0	59.993520655557205
8171.0	59.91400473633784
8210.0	59.90724550898204
8249.0	57.71886434476216
8288.0	52.06899046190119
8327.0	58.847586832365124
8366.0	59.84005363913808
8405.0	59.83027863121093
8444.0	59.93611898372251
8483.0	59.96936746215037
8522.0	59.915895835655114
8561.0	59.01019409088291
8600.0	58.386345228453
8639.0	42.962660588479075
8678.0	58.60630462535599
8717.0	59.942728526450004
8756.0	60.0
8795.0	59.984002169197396
8834.0	59.9092129074236
8873.0	45.190043885773754
8912.0	55.06054691598984
8951.0	58.97220326915661
8990.0	59.63004305533408
9029.0	59.91167150069825
9068.0	59.935029008337494
9107.0	59.920959261317485
9146.0	59.728889291428914
9185.0	59.98649239286532
9224.0	59.93813752764106
9263.0	59.93019642857143
9302.0	59.709848807844935
9341.0	59.650856207794604
9380.0	59.90810798558379
9419.0	59.9416360686534
9458.0	59.99245384117345
9497.0	59.613544813695874
9536.0	58.63414634146341
9575.0	59.7469828097214
9614.0	59.984909209880584
9653.0	60.0
9692.0	59.99667405764967
9731.0	59.02096168568408
9770.0	59.91258900166641
9809.0	59.9292340447103
9848.0	59.94428372930002
9887.0	48.79586661879544
9926.0	57.40023120339098
9965.0	59.9377745989578
10004.0	59.957452496896785
10043.0	59.958776085008324
10082.0	59.96958478099903
10121.0	59.95804625984252
10160.0	59.72579270622116
10199.0	59.922781406069916
10238.0	59.94600245316681
10277.0	59.99257891559848
10316.0	59.730156605541424
10355.0	59.24216168292093
10394.0	58.521769573520054
10433.0	58.92912476216363
10472.0	59.74781097520219
10511.0	59.9860153405129
10550.0	59.93198638877074
10589.0	56.173301630434786
10628.0	59.98257334889524
10667.0	59.98078894584355
10706.0	60.0
10745.0	60.0
10784.0	0.0
10823.0	0.0
10862.0	0.0
10901.0	0.0
10938.0	0.0
10957.5	0.0
10979.0	59.9868073878628
11018.0	59.997176548746054
11057.0	60.0
11096.0	59.98821958690018
11135.0	59.99442614644033
11174.0	59.982500596231816
11213.0	59.976480559381294
11252.0	59.98041255367182
11291.0	59.99855641992141
11330.0	60.0
11369.0	60.0
11408.0	59.99462570257742
