#Position (bp)	Coverage	Std
20.0	0.0	0.0
59.0	373.0769230769231	330.47013907539787
98.0	1436.025641025641	219.74968276865158
137.0	1948.5641025641025	143.90568492539137
176.0	2306.5641025641025	135.9355993825275
215.0	2536.25641025641	110.84361818484625
254.0	2798.769230769231	178.17651864056606
293.0	2938.871794871795	150.41455535132906
332.0	3585.5641025641025	176.32043964299194
371.0	1820.5384615384614	938.566419107845
410.0	2031.1538461538462	208.73894873249822
449.0	2754.8205128205127	238.40656934676113
488.0	3501.5641025641025	307.475619212737
527.0	3926.5897435897436	114.68060440040388
566.0	3825.4871794871797	149.91809729794463
605.0	3476.1794871794873	297.71126952132664
644.0	4094.7179487179487	184.45004882845663
683.0	3968.923076923077	166.120206708648
722.0	4363.666666666667	263.8438252121205
761.0	4623.948717948718	444.8456949411695
800.0	4141.0	135.8110489821799
839.0	4113.025641025641	75.20280273008517
878.0	1752.2051282051282	1029.317697835281
917.0	1661.5384615384614	218.5082877029427
956.0	2525.5384615384614	423.41311584157023
995.0	2543.74358974359	116.5873723205692
1034.0	3050.6923076923076	168.144473898383
1073.0	3485.6153846153848	179.44429890708713
1112.0	3867.8205128205127	186.48063073956496
1151.0	3995.4102564102564	90.98436044812311
1190.0	3944.7179487179487	102.6440201463001
1229.0	3816.4615384615386	146.13683436756807
1268.0	3281.0	346.4528679973511
1307.0	3585.74358974359	116.68234326910797
1346.0	3389.25641025641	122.75470642186392
1385.0	3088.871794871795	129.15157066458005
1424.0	3161.4102564102564	275.9327305610409
1463.0	2931.4615384615386	86.52789679101222
1502.0	2980.4871794871797	82.37142272688963
1541.0	3277.025641025641	122.43679688218712
1580.0	3143.923076923077	160.6979169523365
1619.0	3171.3076923076924	102.91333172215342
1658.0	3231.923076923077	96.46123175022153
1697.0	2775.102564102564	112.9138541612057
1736.0	2709.4102564102564	100.10648176970349
1775.0	2780.923076923077	104.5201489592412
1814.0	2718.358974358974	77.3060849431077
1853.0	2586.076923076923	108.80811150003942
1892.0	2203.3333333333335	60.91818809703696
1931.0	2100.5128205128203	109.84908061891537
1970.0	2016.948717948718	132.35354750992323
2009.0	2325.4615384615386	179.0006446056298
2048.0	1925.871794871795	173.90146045596626
2087.0	1436.3076923076924	149.00903431568253
2126.0	740.1794871794872	356.42091941252795
2163.5	0.0	0.0
2183.0	0.0	0.0
2204.0	0.0	0.0
2243.0	0.0	0.0
2282.0	0.0	0.0
2321.0	0.0	0.0
2360.0	0.0	0.0
2399.0	0.0	0.0
2438.0	0.0	0.0
2477.0	0.0	0.0
2516.0	0.0	0.0
2555.0	0.0	0.0
2594.0	0.0	0.0
2633.0	0.0	0.0
2672.0	0.0	0.0
2711.0	0.0	0.0
2750.0	0.0	0.0
2789.0	0.0	0.0
2828.0	0.0	0.0
2867.0	0.0	0.0
2906.0	0.0	0.0
2945.0	0.0	0.0
2984.0	0.0	0.0
3023.0	0.0	0.0
3062.0	0.0	0.0
3101.0	0.0	0.0
3140.0	0.0	0.0
3179.0	0.0	0.0
3218.0	0.0	0.0
3257.0	0.0	0.0
3294.5	0.0	0.0
3314.0	2390.3333333333335	41.00812927538852
3335.0	2867.102564102564	163.9706821824712
3374.0	3746.358974358974	215.62473337033018
3413.0	3584.25641025641	129.69599562843854
3452.0	4181.410256410257	174.94526616587223
3491.0	4594.666666666667	436.71556782359835
3530.0	4585.333333333333	312.82751043035194
3569.0	5429.4358974358975	126.63950451010146
3608.0	5336.410256410257	209.74013225161258
3647.0	5007.2307692307695	394.2445876252405
3686.0	4983.153846153846	590.5563001016449
3725.0	2213.4358974358975	492.6945014863389
3764.0	3232.7948717948716	100.68674447423571
3803.0	4224.0	846.9235124244905
3842.0	4951.589743589743	791.6775275908165
3881.0	4532.128205128205	307.8290817803672
3920.0	4741.897435897436	272.4762986634472
3959.0	6516.25641025641	657.9964733753213
3998.0	6578.205128205128	151.04363438151321
4037.0	4652.974358974359	1923.4791194803556
4076.0	3125.5384615384614	405.9075933743714
4115.0	3891.3333333333335	482.2641312680138
4154.0	5109.7692307692305	305.8038167828778
4193.0	6084.820512820513	249.79940670414726
4232.0	4688.358974358975	534.8868559966193
4271.0	4974.333333333333	167.2613493140598
4310.0	5025.282051282052	206.51007301439773
4349.0	5739.153846153846	410.8654405719857
4388.0	6358.48717948718	219.72406938399848
4427.0	5878.48717948718	226.74587605444063
4466.0	5888.333333333333	166.14636735305396
4505.0	5695.282051282052	377.11791667451166
4544.0	5110.641025641025	280.7766700805818
4583.0	5001.179487179487	200.76015796377544
4622.0	5338.538461538462	204.7076714957989
4661.0	4807.461538461538	279.3118374936943
4700.0	4715.0	300.1173702027858
4739.0	5011.641025641025	261.8003251648322
4778.0	4416.48717948718	279.4018335934538
4817.0	4382.615384615385	139.8787936860912
4856.0	4112.74358974359	161.83372283350627
4895.0	4166.589743589743	127.45587471748802
4934.0	3510.6666666666665	244.235857003336
4973.0	3074.7948717948716	182.5312056215099
5012.0	3063.948717948718	294.36894694086885
5051.0	2622.897435897436	96.4927259115733
5090.0	2311.4358974358975	166.4418740458573
5124.5	1775.0666666666666	312.2717299617967
5144.0	545.3333333333334	22.047927592205216
5168.0	540.3076923076923	64.41531908896604
5207.0	519.2051282051282	42.75451693036292
5246.0	653.2564102564103	42.95495553633118
5285.0	641.0512820512821	39.957349056084155
5324.0	657.0	60.12081852830027
5363.0	749.1282051282051	105.41176891429629
5402.0	851.8974358974359	64.75535815866033
5441.0	923.8205128205128	137.7852286377943
5480.0	1049.5384615384614	38.06606941917884
5519.0	777.0	297.72849445469
5558.0	547.6666666666666	78.97971177330844
5597.0	740.0512820512821	64.89162563014678
5636.0	902.7692307692307	85.5682363784782
5675.0	1094.2307692307693	65.93664402774077
5714.0	1072.923076923077	92.46731924418076
5753.0	1117.0	58.90801173145938
5792.0	1212.2564102564102	91.54906208820903
5831.0	1253.6666666666667	70.62922326832744
5870.0	1230.2307692307693	70.06132844579632
5909.0	1184.2564102564102	35.748408607219815
5948.0	1226.5384615384614	85.68412473013451
5987.0	1119.3589743589744	86.29169375007362
6026.0	1091.6410256410256	46.0125400967362
6065.0	1062.5641025641025	51.95461530299309
6104.0	876.8461538461538	106.01306160454592
6143.0	841.025641025641	193.47159070586144
6182.0	1059.4615384615386	32.90701741075531
6221.0	1138.3333333333333	39.61416478082055
6260.0	1239.5641025641025	98.76286024666612
6299.0	1261.4615384615386	93.350730979243
6338.0	1151.4871794871794	37.808898694788176
6377.0	1186.6153846153845	39.88894840840313
6416.0	1197.4358974358975	111.2231529115667
6455.0	939.3846153846154	157.19439214894683
6494.0	649.1282051282051	58.20851114081815
6533.0	792.1025641025641	77.0039959003127
6572.0	883.7435897435897	42.598001638454235
6611.0	1037.025641025641	39.03712894024733
6650.0	1097.5384615384614	48.56637013090698
6689.0	1220.179487179487	47.100002721977106
6728.0	610.974358974359	180.8621801403715
6767.0	759.6923076923077	35.07610772781627
6806.0	827.0512820512821	39.484823439535
6845.0	814.2564102564103	38.35696038864886
6884.0	622.6410256410256	124.07152610387108
6923.0	778.8974358974359	60.40525533258571
6962.0	997.1282051282051	92.6995422221983
7001.0	1130.4615384615386	57.48400000356839
7040.0	1148.871794871795	95.69476045995019
7079.0	1021.3076923076923	36.2328650926269
7118.0	1074.6153846153845	43.655704241490604
7157.0	1119.051282051282	51.36396022754178
7196.0	970.3333333333334	45.871336226226276
