#Position (bp)	insert size
20.0	0.0
59.0	0.0
98.0	0.0
137.0	0.0
176.0	0.0
215.0	0.0
254.0	0.0
293.0	0.0
332.0	0.0
371.0	0.0
410.0	0.0
449.0	0.0
488.0	0.0
527.0	0.0
566.0	0.0
605.0	0.0
644.0	0.0
683.0	0.0
722.0	0.0
761.0	0.0
800.0	0.0
839.0	0.0
878.0	0.0
917.0	0.0
956.0	0.0
995.0	0.0
1034.0	0.0
1073.0	0.0
1112.0	0.0
1151.0	0.0
1190.0	0.0
1229.0	0.0
1268.0	0.0
1307.0	0.0
1346.0	0.0
1385.0	0.0
1424.0	0.0
1463.0	0.0
1502.0	0.0
1541.0	0.0
1580.0	0.0
1619.0	0.0
1658.0	0.0
1697.0	0.0
1736.0	0.0
1775.0	0.0
1814.0	0.0
1853.0	0.0
1892.0	0.0
1931.0	0.0
1970.0	0.0
2009.0	0.0
2048.0	0.0
2087.0	0.0
2126.0	0.0
2163.5	0.0
2183.0	0.0
2204.0	0.0
2243.0	0.0
2282.0	0.0
2321.0	0.0
2360.0	0.0
2399.0	0.0
2438.0	0.0
2477.0	0.0
2516.0	0.0
2555.0	0.0
2594.0	0.0
2633.0	0.0
2672.0	0.0
2711.0	0.0
2750.0	0.0
2789.0	0.0
2828.0	0.0
2867.0	0.0
2906.0	0.0
2945.0	0.0
2984.0	0.0
3023.0	0.0
3062.0	0.0
3101.0	0.0
3140.0	0.0
3179.0	0.0
3218.0	0.0
3257.0	0.0
3294.5	0.0
3314.0	262.8235294117647
3335.0	274.8965517241379
3374.0	296.75
3413.0	296.6666666666667
3452.0	342.2631578947368
3491.0	299.0625
3530.0	330.2307692307692
3569.0	290.03125
3608.0	318.6842105263158
3647.0	257.22222222222223
3686.0	255.0
3725.0	259.8125
3764.0	245.23076923076923
3803.0	319.81481481481484
3842.0	88.5
3881.0	358.2068965517241
3920.0	147.0
3959.0	319.65625
3998.0	265.25
4037.0	291.5
4076.0	327.97872340425533
4115.0	322.0
4154.0	316.29411764705884
4193.0	307.75
4232.0	262.3636363636364
4271.0	335.75
4310.0	246.0
4349.0	317.5882352941176
4388.0	250.1818181818182
4427.0	285.2
4466.0	321.85714285714283
4505.0	305.2903225806452
4544.0	325.26666666666665
4583.0	347.0
4622.0	278.9310344827586
4661.0	230.16666666666666
4700.0	283.0
4739.0	281.4736842105263
4778.0	231.0
4817.0	217.5
4856.0	181.1764705882353
4895.0	159.6
4934.0	151.14285714285714
4973.0	176.66666666666666
5012.0	95.66666666666667
5051.0	72.0
5090.0	46.0
5124.5	0.0
5144.0	190.0
5168.0	0.0
5207.0	0.0
5246.0	0.0
5285.0	0.0
5324.0	166.0
5363.0	123.0
5402.0	383.5
5441.0	0.0
5480.0	213.0
5519.0	0.0
5558.0	305.0
5597.0	294.0
5636.0	0.0
5675.0	217.0
5714.0	661.0
5753.0	0.0
5792.0	498.0
5831.0	428.5
5870.0	410.6666666666667
5909.0	0.0
5948.0	276.0
5987.0	286.0
6026.0	385.5
6065.0	546.0
6104.0	0.0
6143.0	296.0
6182.0	0.0
6221.0	149.0
6260.0	273.5
6299.0	453.0
6338.0	335.0
6377.0	0.0
6416.0	0.0
6455.0	237.0
6494.0	304.0
6533.0	280.5
6572.0	223.5
6611.0	392.5
6650.0	0.0
6689.0	245.0
6728.0	0.0
6767.0	333.0
6806.0	218.0
6845.0	182.0
6884.0	239.0
6923.0	285.3333333333333
6962.0	0.0
7001.0	529.0
7040.0	396.0
7079.0	392.0
7118.0	291.3333333333333
7157.0	389.0
7196.0	0.0
7235.0	209.0
7274.0	0.0
7313.0	0.0
7352.0	201.0
7391.0	168.0
7430.0	0.0
7469.0	0.0
7508.0	0.0
7542.0	0.0
7561.5	0.0
7586.0	0.0
7625.0	0.0
7664.0	0.0
7703.0	411.3333333333333
7742.0	0.0
7781.0	0.0
7820.0	500.0
7859.0	0.0
7898.0	0.0
7937.0	93.0
7976.0	62.0
8015.0	0.0
8054.0	85.0
8093.0	0.0
8132.0	0.0
8171.0	0.0
8210.0	0.0
8249.0	0.0
8288.0	0.0
8327.0	0.0
8366.0	0.0
8405.0	0.0
8444.0	0.0
8483.0	0.0
8522.0	0.0
8561.0	0.0
8600.0	0.0
8639.0	52.0
8678.0	0.0
8717.0	0.0
8756.0	0.0
8795.0	0.0
8834.0	0.0
8873.0	34.5
8912.0	408.0
8951.0	0.0
8990.0	0.0
9029.0	0.0
9068.0	0.0
9107.0	0.0
9146.0	0.0
9185.0	0.0
9224.0	0.0
9263.0	0.0
9302.0	0.0
9341.0	0.0
9380.0	0.0
9419.0	0.0
9458.0	0.0
9497.0	0.0
9536.0	0.0
9575.0	0.0
9614.0	0.0
9653.0	0.0
9692.0	0.0
9731.0	0.0
9770.0	0.0
9809.0	0.0
9848.0	0.0
9887.0	0.0
9926.0	0.0
9965.0	0.0
10004.0	0.0
10043.0	0.0
10082.0	0.0
10121.0	0.0
10160.0	0.0
10199.0	0.0
10238.0	0.0
10277.0	0.0
10316.0	0.0
10355.0	0.0
10394.0	0.0
10433.0	0.0
10472.0	0.0
10511.0	0.0
10550.0	0.0
10589.0	21.5
10628.0	0.0
10667.0	0.0
10706.0	0.0
10745.0	0.0
10784.0	0.0
10823.0	0.0
10862.0	0.0
10901.0	0.0
10938.0	0.0
10957.5	0.0
10979.0	316.0
11018.0	301.5
11057.0	512.0
11096.0	267.42857142857144
11135.0	277.84615384615387
11174.0	433.0
11213.0	275.0
11252.0	333.25
11291.0	318.22222222222223
11330.0	391.1666666666667
11369.0	344.5
11408.0	367.6666666666667
11447.0	306.6666666666667
11486.0	235.0
11525.0	183.0
11564.0	243.75
11603.0	188.0
11642.0	308.8181818181818
11681.0	309.0
11720.0	249.9
11759.0	0.0
11798.0	459.0
11837.0	317.2
11876.0	389.6666666666667
11915.0	288.8888888888889
11954.0	324.5
11993.0	272.6666666666667
12032.0	273.25
12071.0	309.4
12110.0	281.6666666666667
12149.0	198.16666666666666
12188.0	354.1666666666667
12227.0	348.14285714285717
12266.0	282.3333333333333
12305.0	326.3333333333333
