#Position (bp)	insert size
20.0	0.0
59.0	444.85120453471893
98.0	447.7314189189189
137.0	441.6390423572744
176.0	450.25253991291726
215.0	463.14932841717143
254.0	460.7579105976896
293.0	455.1970756516211
332.0	454.389164598842
371.0	454.341075794621
410.0	459.0127363952142
449.0	462.07339449541286
488.0	460.83269961977186
527.0	467.03665521191294
566.0	474.14075010535186
605.0	477.41056765440914
644.0	463.66361679224974
683.0	453.3379355687048
722.0	435.2852614896989
761.0	443.6217054263566
800.0	429.950641025641
839.0	426.07464607464607
878.0	410.2943181818182
917.0	424.7771883289125
956.0	399.26439790575915
995.0	398.01798561151077
1034.0	411.9026717557252
1073.0	425.36358261897726
1112.0	428.6389002872384
1151.0	422.148129164531
1190.0	420.8570048309179
1229.0	418.83721790603033
1268.0	409.26441351888667
1307.0	410.953125
1346.0	399.5154968094804
1385.0	402.04791666666665
1424.0	407.52566735112936
1463.0	411.7535587188612
1502.0	406.51273623664747
1541.0	391.8383679874461
1580.0	382.3564705882353
1619.0	374.6493411420205
1658.0	371.36339869281045
1697.0	348.00565262076054
1736.0	333.6167400881057
1775.0	298.6112956810631
1814.0	269.91630901287556
1853.0	236.13768115942028
1892.0	200.75596816976127
1931.0	175.88915662650604
1970.0	143.51882845188285
2009.0	117.03521126760563
2048.0	84.01010101010101
2087.0	49.982142857142854
2126.0	24.2
2163.5	0.0
2183.0	0.0
2204.0	0.0
2243.0	0.0
2282.0	0.0
2321.0	0.0
2360.0	0.0
2399.0	0.0
2438.0	0.0
2477.0	0.0
2516.0	0.0
2555.0	0.0
2594.0	0.0
2633.0	0.0
2672.0	0.0
2711.0	0.0
2750.0	0.0
2789.0	0.0
2828.0	0.0
2867.0	0.0
2906.0	0.0
2945.0	0.0
2984.0	0.0
3023.0	0.0
3062.0	0.0
3101.0	0.0
3140.0	0.0
3179.0	0.0
3218.0	0.0
3257.0	0.0
3294.5	0.0
3314.0	377.37718715393135
3335.0	442.92537942664416
3374.0	443.3559937727037
3413.0	442.1491542798565
3452.0	446.3916366906475
3491.0	452.2714650042505
3530.0	426.16509433962267
